attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
1,0.1191530335,0.4141980199,0.2268937481,-0.0238289656,0.0878102494,0.0296943892,685.14578882,0.773040711,0.0795572448
101,0.1361308108,0.4246088813,0.2269393277,-0.0235018692,0.0923927759,0.0315628468,728.04229767,0.7659652885,0.0845632188
201,0.1179117922,0.4083536877,0.2317117722,-0.0223419835,0.0950674918,0.0286825431,576.95158278,0.751689561,0.0768463055
301,0.1115492778,0.4094904527,0.2307076867,-0.0214128753,0.0890595744,0.0331057676,654.07471217,0.7811190421,0.0886970141
401,0.1461059211,0.4048276177,0.2250660206,-0.0216317753,0.0958397897,0.0332935118,699.47500998,0.7661157601,0.0892000186
501,0.1283074617,0.3967171128,0.2280903954,-0.0218865491,0.0900677339,0.028972385,652.38094662,0.7727656477,0.0776228501
601,0.1499612297,0.4124218589,0.2265556317,-0.0208212976,0.0901660763,0.0287735623,768.77447597,0.7749982348,0.0770901642
701,0.1495028217,0.4268159595,0.2326455669,-0.0232926316,0.0898003519,0.0301816139,812.14931811,0.7793836999,0.0808626179
801,0.147535192,0.4246820317,0.228244355,-0.0245973354,0.0877702607,0.0259660647,795.1709591,0.7710622329,0.0695683132
901,0.1511264669,0.3965581366,0.2249749855,-0.0206794901,0.0890448482,0.0328288798,795.30562165,0.7917284976,0.0879551759
1001,0.1424541539,0.4257433996,0.2252901907,-0.0223522953,0.0847282124,0.0292179819,853.79576495,0.7875502704,0.0782808536
1101,0.1121742596,0.4057709699,0.2264893513,-0.0238980454,0.0910305176,0.0289508212,600.80685832,0.7589274616,0.0775650764
1201,0.116202608,0.4080332763,0.2265570167,-0.0196532404,0.0917859897,0.0281825387,602.84947309,0.7588283717,0.075506693
1301,0.1003308689,0.4207868595,0.2250523368,-0.0219917677,0.0890710031,0.0337891796,640.06970404,0.7720974609,0.0905280123
1401,0.1084100592,0.410885105,0.2302094226,-0.0206604378,0.0933066535,0.0310674873,580.92179266,0.7597700111,0.083236051
1501,0.129617867,0.3945087893,0.2258744873,-0.0211134791,0.0938739579,0.0322684002,632.70146862,0.7681184502,0.0864535382
1601,0.1341596763,0.4080281076,0.2274003422,-0.0203405711,0.0852810456,0.031581646,788.80656829,0.7958798763,0.0846135854
1701,0.1228357551,0.4091012152,0.2286502636,-0.0228816036,0.0967877703,0.0284181635,578.72166486,0.7438929581,0.0761379793
1801,0.1245140328,0.4245196784,0.2260083826,-0.0211664284,0.0897668781,0.0307556416,707.38297144,0.7701132145,0.0824005536
1901,0.1339169028,0.4080623991,0.2328841923,-0.0246679888,0.0936652119,0.0272881876,639.43428574,0.7575995845,0.0731105465
2001,0.1345690212,0.4235079771,0.2305905857,-0.0205690654,0.0900683948,0.0290700918,725.69154134,0.7721088557,0.0778846265
2101,0.1260775396,0.398628392,0.2264011349,-0.021356123,0.088004984,0.0300037668,682.12607594,0.7802978703,0.0803861297
