attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
1,0.1701282036,0.6067882113,0.024610291,0.0733554481,0.1172092266,0.029565381,113.91397807,0.6464207059,0.0739134525
101,0.1449404882,0.6184552506,0.0202477852,0.0749687363,0.1204015607,0.0307314855,98.67531074,0.6263306521,0.0768287137
201,0.1631688632,0.604507628,0.0244779929,0.0751237309,0.1200631239,0.0308555032,106.27575649,0.6383769919,0.0771387579
301,0.1520303944,0.6028202468,0.0256564646,0.0737413957,0.1072355582,0.0301972461,117.5637525,0.6748960394,0.0754931151
401,0.1723132252,0.6100359424,0.0331671497,0.0734334852,0.1103000845,0.0311757267,127.47895737,0.6774810019,0.0779393167
501,0.1647879177,0.5782225113,0.0279114432,0.0747625401,0.1101706819,0.0283502652,113.98163785,0.6689908621,0.070875663
601,0.1493321733,0.6125385936,0.0223727745,0.0759828379,0.1144564815,0.0275903384,105.30375055,0.6423900418,0.068975846
701,0.1862784953,0.6011686396,0.0258487167,0.0762854585,0.1176060186,0.0318666418,123.61135875,0.6589301673,0.0796666045
801,0.1753447244,0.6059075051,0.0212031321,0.0797618393,0.1093821157,0.0304407889,130.1029143,0.677490027,0.0761019722
901,0.1769790274,0.6000757385,0.0270096012,0.0760076299,0.1153095248,0.0313121659,120.50660421,0.6621027836,0.0782804146
1001,0.1772949269,0.6029687071,0.0249239062,0.0773456516,0.1074370208,0.0301107093,133.95962001,0.6847304138,0.0752767733
1101,0.1930325308,0.6043148575,0.0241706119,0.0774659074,0.1130144483,0.0271162609,132.56164089,0.6649588923,0.0677906522
1201,0.1711770929,0.6095127452,0.0290322226,0.0760665585,0.1145580605,0.0294237895,118.29444366,0.6583634334,0.0735594737
1301,0.163615631,0.6184796248,0.0258217787,0.0751446157,0.106108135,0.03161829,131.92365696,0.6863075573,0.0790457251
1401,0.1489346231,0.5860914805,0.025308643,0.0731548208,0.1128482131,0.0335768162,106.57600866,0.6635494452,0.0839420405
1501,0.1869157196,0.5965589279,0.0296705566,0.0762892375,0.1134756568,0.0285953979,126.70221563,0.6673033098,0.0714884948
1601,0.1437411097,0.6129144816,0.0226687329,0.0739269554,0.1182353423,0.0268696268,97.38760805,0.6254104489,0.0671740671
1701,0.164863856,0.6020020424,0.0292664793,0.0758987106,0.1174390851,0.0306685688,109.70272682,0.6500534394,0.076671422
1801,0.1895311228,0.6147567652,0.0209622357,0.0762852372,0.1084677438,0.0298807464,144.03701516,0.6819297261,0.0747018659
1901,0.163789793,0.5826438637,0.027387992,0.0753105213,0.1155653461,0.0280135848,106.33807554,0.6500378497,0.070033962
2001,0.1578109611,0.6070304765,0.0229122164,0.0738806642,0.1157908114,0.0298689111,108.98973423,0.6462226324,0.0746722778
